# Pathway	a100	a101	a102	a103	a104	a105	a106	a107	a108	a109	a10	a110	a111	a112	a113	a114	a115	a116	a117	a118	a119	a11	a120	a12	a13	a14	a15	a16	a17	a18	a19	a1	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a2	a30	a31	a32	a33	a34	a35	a36	a37	a38	a39	a3	a40	a41	a42	a43	a44	a45	a46	a47	a48	a49	a4	a50	a51	a52	a53	a54	a55	a56	a57	a58	a59	a5	a60	a61	a62	a63	a64	a65	a66	a67	a68	a69	a6	a70	a71	a72	a73	a74	a75	a76	a77	a78	a79	a7	a80	a81	a82	a83	a84	a85	a86	a87	a88	a89	a8	a90	a91	a92	a93	a94	a95	a96	a97	a98	a99	a9
UNMAPPED	0.773869	0.781733	0.797874	0.793056	0.81093	0.761542	0.80978	0.787321	0.791037	0.786248	0.809936	0.776475	0.7885	0.760033	0.769803	0.811765	0.767989	0.776628	0.778608	0.782774	0.813583	0.787857	0.780983	0.767717	0.755727	0.776054	0.683815	0.760602	0.802308	0.790191	0.752446	0.706769	0.7221	0.748539	0.733462	0.749905	0.755819	0.774596	0.726391	0.74809	0.736673	0.789173	0.677306	0.708876	0.802698	0.725932	0.814641	0.710428	0.738831	0.763191	0.80093	0.771219	0.749307	0.419813	0.817485	0.792353	0.789364	0.76521	0.8093	0.776627	0.762675	0.788746	0.773144	0.82056	0.713495	0.770751	0.786452	0.786561	0.752426	0.808276	0.768442	0.785302	0.729707	0.802681	0.801861	0.72882	0.777031	0.799273	0.707665	0.804154	0.793651	0.773926	0.769501	0.797966	0.761011	0.737274	0.656512	0.796655	0.775619	0.786001	0.808167	0.745107	0.75362	0.783406	0.840772	0.808468	0.783623	0.728169	0.795739	0.816292	0.759323	0.795783	0.767212	0.785354	0.780226	0.768028	0.77377	0.81465	0.746874	0.769372	0.793381	0.781192	0.798446	0.782684	0.781051	0.768484	0.775076	0.713389	0.769432	0.770158
UNINTEGRATED	0.199405	0.19349	0.177804	0.182836	0.166415	0.211264	0.168487	0.186929	0.183543	0.188896	0.169083	0.19776	0.186563	0.213262	0.203572	0.16722	0.206255	0.197605	0.196154	0.191934	0.163862	0.188132	0.194414	0.206448	0.216579	0.198821	0.282057	0.212361	0.176329	0.185245	0.219899	0.262151	0.248776	0.223772	0.238593	0.220841	0.215866	0.202721	0.243744	0.225328	0.234253	0.185429	0.289243	0.261282	0.173133	0.24515	0.163664	0.256938	0.233132	0.209624	0.174895	0.202346	0.223545	0.517855	0.160099	0.183508	0.185313	0.20853	0.168346	0.199714	0.211065	0.187022	0.200449	0.157783	0.255744	0.202762	0.188797	0.188679	0.219652	0.168423	0.204957	0.191339	0.241671	0.174035	0.176139	0.240118	0.197291	0.175679	0.259878	0.172077	0.181407	0.201373	0.202375	0.177395	0.211813	0.234007	0.306074	0.179547	0.197603	0.188126	0.168109	0.225886	0.217714	0.190499	0.139332	0.169185	0.191081	0.242916	0.17879	0.162041	0.214085	0.179262	0.206702	0.190141	0.194521	0.206493	0.199471	0.164639	0.22703	0.204322	0.181363	0.193429	0.17649	0.190345	0.192602	0.204721	0.199209	0.256396	0.202412	0.20295
1CMET2-PWY: folate transformations III (E. coli)	9.36676e-05	6.71064e-05	0.000105896	9.36909e-05	0.000122707	0.000120075	0.000102907	0.00014166	9.16366e-05	8.39103e-05	0.00010067	0.000103102	0.0001107	0.000102823	0.000125995	8.17819e-05	9.21753e-05	0.000140978	0.000145555	0.000152555	0.000118886	8.52203e-05	9.25288e-05	5.21176e-05	0.000119379	8.06773e-05	0.000110003	0.000110408	9.75859e-05	9.74873e-05	8.5656e-05	9.67609e-05	8.54486e-05	7.52065e-05	8.22402e-05	0.000132661	8.25216e-05	4.61979e-05	0.000114939	0.000110249	7.45364e-05	9.76938e-05	9.66742e-05	0.000119292	9.77104e-05	7.15982e-05	9.03893e-05	9.81716e-05	0.000109711	9.86697e-05	0.000115146	9.27656e-05	9.30668e-05	5.68168e-05	0.000104001	7.1137e-05	0.000154456	8.87035e-05	9.4535e-05	9.27265e-05	9.036e-05	7.54151e-05	0.000132532	9.03903e-05	8.22247e-05	0.000103802	0.000101076	9.85181e-05	0.000162707	9.59705e-05	0.000112852	7.64461e-05	0.000121961	7.72292e-05	7.23455e-05	7.54853e-05	0.000117694	0.000108372	0.000100939	8.93288e-05	9.9696e-05	6.29211e-05	0.000114151	9.26537e-05	9.50688e-05	0.00010674	8.45793e-05	7.86976e-05	6.63752e-05	0.000123877	0.000111085	0.000115852	0.000113401	0.000101645	0.00010254	7.7141e-05	8.45497e-05	7.63299e-05	0.000113636	8.5446e-05	8.75717e-05	9.04831e-05	0.000108135	4.53714e-05	0.000111617	9.46499e-05	0.000149987	6.13213e-05	9.62766e-05	8.27644e-05	9.04607e-05	8.97121e-05	0.000128682	0.000127778	9.87639e-05	0.000109463	0.000104622	8.97956e-05	0.000106419	8.74567e-05
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	2.6405e-07	0	0	0	0	1.95728e-07	0	0	0	0	0	0	0	0	0	3.66373e-06	0	2.40031e-06	1.91829e-06	0	8.77668e-07	0	0	0	0	4.17067e-07	3.52557e-06	3.213e-07	0	0	0	8.42674e-07	0	1.37838e-06	0	0	0	0	1.06515e-06	0	0	0	3.94434e-07	0	1.26616e-06	0	0	0	0	0	1.78857e-07	0	0	5.44593e-07	0	8.13313e-07	0	0	0	0	0	0	0	3.72353e-07	0	0	4.51711e-07	0	0	0	0	3.58288e-07	0	0	0	0	0	5.37096e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12297e-07	0	8.7332e-07	5.24016e-07	0	0	0	0	4.58806e-07
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	2.21992e-06	1.55155e-06	1.70408e-06	3.91732e-06	3.27107e-06	0	2.89266e-06	2.68286e-06	1.54487e-06	3.08158e-07	2.89147e-06	8.63923e-06	0	1.03374e-06	2.26868e-06	8.73774e-06	3.00126e-06	3.21055e-06	0	1.19331e-06	3.92113e-06	2.26733e-06	1.65174e-06	2.12356e-06	9.60268e-06	2.94828e-06	6.93997e-06	6.27281e-06	1.62154e-06	2.37566e-06	2.76715e-06	2.22085e-06	7.26466e-06	2.88168e-06	2.18513e-06	1.67705e-05	4.0749e-06	5.08636e-07	2.92831e-06	1.29167e-06	4.43652e-06	2.38054e-06	1.22801e-05	1.99531e-06	3.73864e-07	4.01038e-06	1.7318e-06	9.22795e-06	2.09107e-06	3.68406e-06	6.51722e-07	2.05943e-06	5.25214e-06	2.96302e-06	7.36288e-07	0	1.36629e-06	9.58639e-07	1.31101e-06	2.19439e-06	1.64464e-06	4.77258e-06	6.09125e-06	0	8.24068e-06	2.93485e-06	1.67357e-06	1.74309e-06	3.79079e-06	1.64876e-06	3.02317e-06	1.1963e-06	5.24898e-06	1.37797e-06	2.98054e-07	9.87641e-06	1.41273e-06	6.04741e-07	1.90549e-06	1.87558e-06	1.17884e-06	1.32392e-06	2.077e-06	1.9905e-06	3.11579e-06	4.10131e-06	1.22283e-05	0	1.41167e-06	2.76468e-06	2.50677e-06	1.20815e-05	8.04289e-06	2.32087e-06	6.46153e-06	8.8197e-06	6.32507e-06	9.48307e-06	2.55868e-06	3.80847e-06	1.08018e-06	1.00371e-06	3.39522e-06	8.59952e-06	1.46675e-06	3.03642e-06	1.75034e-06	0	2.14771e-06	1.67248e-06	1.02607e-06	2.97017e-06	2.88011e-06	4.41176e-06	2.57475e-06	4.88524e-06	4.40895e-06	1.00013e-05	6.23276e-06	3.52997e-06
ANAEROFRUCAT-PWY: homolactic fermentation	0.000204206	5.78988e-05	8.12265e-05	6.48199e-05	0.000108048	0.000144667	0.000122387	6.1145e-05	0.000116067	8.75385e-05	9.90777e-05	0.000173711	0.000127305	0.000110491	7.51598e-05	8.45152e-05	7.742e-05	7.78034e-05	7.87722e-05	5.4549e-05	5.55626e-05	0.000113452	8.24326e-05	0.000221698	0.000135016	5.57405e-05	0.000143868	0.000155603	0.000178411	0.000158144	0.000260181	0.00024437	0.000279446	0.000199641	0.000257186	0.000125884	8.55669e-05	0.000214074	0.000111475	0.000174027	0.000123012	7.94204e-05	0.000101178	0.000214992	0.000101673	0.000238863	0.000132466	0.000271783	0.000111074	0.000207707	0.000121546	0.000181966	0.000119118	9.20133e-05	7.83661e-05	0.00011042	6.98348e-05	0.000199154	0.000123226	9.47392e-05	0.000146474	0.000140437	0.000138784	9.86477e-05	0.000267507	0.000145718	0.000145474	0.00010359	0.00012664	9.26601e-05	9.80422e-05	8.61059e-05	0.000126535	4.39289e-05	7.43991e-05	0.000112536	7.6045e-05	0.000118985	0.000237418	0.00015146	0.000141615	9.32993e-05	0.000205585	8.89557e-05	0.000203245	0.000159336	0.000137883	0.000137723	0.000201204	0.000103679	9.90285e-05	0.000181428	0.000204207	8.4299e-05	7.69561e-05	7.89936e-05	8.93612e-05	0.00023698	4.4423e-05	9.41372e-05	9.46207e-05	6.09174e-05	6.99278e-05	9.69361e-05	0.000146722	6.18227e-05	0.000113727	0.000101259	0.00014472	8.48837e-05	0.000134428	0.000146743	0.000120328	7.36366e-05	7.04015e-05	0.000195531	0.000130113	0.000256044	0.000200085	8.51448e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000311405	0.00037782	0.000125954	9.81936e-05	0.000214443	0.000221865	0.000232764	9.6518e-05	0.000176206	0.000130617	0.000158115	0.000269948	0.000201073	0.000165503	0.000114343	0.000129038	0.000118741	0.000123258	0.000125911	8.75334e-05	0.00013933	0.00017348	0.000129531	0.000325168	0.000195954	0.000381071	0.000471034	0.000236251	0.000325364	0.000230071	0.000365864	0.000437256	0.000390102	0.000305193	0.000363548	0.000272621	0.000402127	0.000305603	0.000386075	0.000274527	0.000389819	0.00031555	0.000498431	0.000412044	0.000167166	0.000416426	0.000273473	0.000447515	0.000170284	0.000341152	0.000228052	0.000281938	0.000364297	0.000546108	0.000128421	0.000383924	0.000115757	0.000338438	0.000195904	0.000258495	0.000380793	0.000205843	0.000218958	0.000158956	0.000419473	0.000377968	0.000220188	0.000158929	0.000198638	0.000145251	0.000150116	0.000233412	0.000196051	7.01024e-05	0.000116819	0.000448831	0.000118132	0.000190156	0.000453626	0.000253504	0.000241534	0.00014166	0.000334092	0.000141738	0.000313573	0.000243791	0.000517905	0.000211893	0.000326646	0.00016069	0.000159768	0.000371836	0.000335194	0.00012632	0.000132585	0.000370367	0.000354318	0.000387479	6.93713e-05	0.000147586	0.000255249	9.40201e-05	0.00010975	0.000468297	0.000259878	9.46225e-05	0.000188336	0.000170773	0.000372719	0.000127463	0.000236991	0.00022778	0.000274227	0.000125725	0.000106446	0.000301594	0.000195918	0.000369835	0.000326267	0.000292228
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	6.51237e-06	1.21246e-06	6.00848e-06	1.22947e-05	7.76273e-06	2.7548e-06	9.62805e-06	6.90255e-06	1.20295e-05	1.23544e-05	4.79543e-06	8.97491e-06	5.73114e-06	7.75925e-06	1.03966e-05	4.55007e-06	9.12042e-06	4.26928e-06	1.65462e-06	9.24446e-07	3.85738e-06	5.70473e-06	3.52418e-06	4.12887e-06	3.61778e-05	2.00665e-06	1.49698e-05	2.72273e-05	9.34537e-06	1.373e-05	6.67292e-06	9.69841e-06	5.58673e-06	8.75282e-06	9.66389e-06	2.63126e-05	5.20404e-06	4.55351e-06	1.29965e-05	1.4244e-05	4.53937e-06	5.30137e-06	5.90563e-06	1.00376e-05	4.44464e-06	9.99011e-06	3.35285e-06	1.08241e-05	1.48325e-05	8.95857e-06	8.53048e-06	9.56574e-06	2.23074e-06	5.4489e-06	3.01959e-06	2.1761e-06	5.44901e-06	3.63014e-06	8.77245e-06	7.6459e-06	6.437e-06	5.54329e-06	1.39287e-05	9.34195e-06	1.14426e-05	5.78403e-06	5.62907e-06	4.27457e-06	9.55513e-06	7.51783e-06	8.88096e-06	1.94496e-06	1.48211e-05	6.24927e-06	2.88248e-06	7.86934e-06	8.18916e-06	1.18907e-05	6.9276e-06	9.04858e-06	1.43277e-05	5.95076e-06	8.93414e-06	1.34856e-05	6.50202e-06	1.54006e-05	1.6167e-05	3.87126e-06	7.57272e-06	6.43267e-06	1.07557e-05	4.21782e-06	2.97258e-06	4.90807e-06	6.23411e-06	3.5822e-06	2.59802e-06	5.52219e-06	6.04647e-06	4.3752e-06	4.72897e-06	4.68027e-06	8.69363e-06	2.85461e-06	6.41691e-06	8.41387e-06	7.01849e-06	2.4285e-06	7.54713e-06	8.03932e-06	7.52153e-06	8.48553e-06	8.66206e-06	1.49175e-05	1.76458e-05	8.56838e-06	6.56633e-06	6.57598e-06	9.41682e-06	4.71183e-06
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6749e-07	0	0	0	0	0	0	0	4.81915e-06	0	3.7779e-06	2.27603e-06	0	0	0	0	0	7.56215e-07	0	7.66416e-06	0	0	2.2343e-06	0	0	0	7.72642e-07	0	0	0	0	1.56181e-06	0	0	0	1.79007e-06	0	1.36816e-06	0	0	0	0	0	0	0	0	4.42597e-07	0	1.07155e-06	0	0	0	0	0	0	0	5.22751e-07	0	0	6.46553e-07	0	0	0	0	0	0	0	0	0	0	3.30815e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14619e-07	0	0	0	0	0	0	3.43823e-07	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	4.82699e-06	6.55533e-06	1.1091e-05	6.83825e-06	1.44044e-05	5.12033e-06	9.90823e-06	1.72561e-05	7.17921e-06	2.90469e-06	4.05731e-06	7.20544e-06	6.81366e-06	1.30212e-05	1.37719e-05	9.49798e-06	6.33557e-06	1.53481e-05	2.71729e-05	3.03481e-05	7.36596e-06	1.84621e-06	7.47311e-06	3.64271e-06	1.1725e-05	6.66207e-06	9.48591e-06	8.68947e-06	3.94773e-06	8.40235e-06	3.85323e-06	4.08305e-06	6.48344e-06	3.68096e-06	3.87467e-06	2.18342e-05	7.89232e-06	1.51929e-06	3.57706e-06	2.99989e-06	2.62435e-06	6.40562e-06	2.75513e-06	2.46298e-06	7.03977e-06	2.22469e-06	6.9865e-06	9.7826e-06	3.73395e-06	4.84563e-06	9.83389e-06	6.73156e-06	7.29452e-06	2.77711e-06	5.43091e-06	1.14569e-05	2.03749e-05	9.91705e-06	5.49913e-06	6.13854e-06	6.04897e-06	5.22628e-06	9.4246e-06	1.06059e-05	4.64818e-06	8.17107e-06	7.46372e-06	7.15686e-06	1.72583e-05	1.14418e-05	1.61295e-05	4.19317e-06	7.0518e-06	6.62033e-06	7.26906e-06	3.38498e-06	8.73115e-06	9.84044e-06	1.12743e-05	1.0833e-05	1.01575e-05	7.42653e-06	1.01338e-05	2.89743e-06	1.65752e-05	4.40241e-06	1.01645e-05	5.17765e-06	5.46455e-06	7.95351e-06	5.84928e-06	1.63739e-05	1.62708e-05	8.69521e-06	1.16391e-05	6.87384e-06	5.69962e-06	3.14271e-06	1.36436e-05	6.03147e-06	1.13782e-05	1.35579e-05	1.40985e-05	5.65969e-06	7.60138e-06	1.28123e-05	1.5427e-05	4.5484e-06	4.38631e-06	9.41436e-06	8.64643e-06	1.10048e-05	1.27458e-05	1.88861e-05	7.41988e-06	6.34547e-06	1.12071e-05	7.68749e-06	7.73233e-06	4.60937e-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000402613	0.000426439	0.000400137	0.000392108	0.000380589	0.000483856	0.000374655	0.000400853	0.000406037	0.000417123	0.000341619	0.000404509	0.000390006	0.000442709	0.000430467	0.00035784	0.000443174	0.000414618	0.000377864	0.000362301	0.00034917	0.000397901	0.000419712	0.000427195	0.000388914	0.000408628	0.00056448	0.000422418	0.000330916	0.000366497	0.000421821	0.00047653	0.000435657	0.000421678	0.000420856	0.000374441	0.000452415	0.000371636	0.000496235	0.000379523	0.000451045	0.000407743	0.000534872	0.000449692	0.000399649	0.000428511	0.000354513	0.000465155	0.000469583	0.000407058	0.000393992	0.000401736	0.000399332	0.00154408	0.000371268	0.000373821	0.000368367	0.000408941	0.000346617	0.0004131	0.000421743	0.000397873	0.000414796	0.000351815	0.000450363	0.00040861	0.000390764	0.000416099	0.000462727	0.000386458	0.000432271	0.000394546	0.000469635	0.00042507	0.000367128	0.000493277	0.000435726	0.000388724	0.000506726	0.000402332	0.000380602	0.000440695	0.000431821	0.000440243	0.000364204	0.000446218	0.000612371	0.00041279	0.000418738	0.000432521	0.000356137	0.000431039	0.000417728	0.000420573	0.00032258	0.000359995	0.000409585	0.000444428	0.000424999	0.000393818	0.00046609	0.000437358	0.00040071	0.000391363	0.000385296	0.000400938	0.000375315	0.000381928	0.000404971	0.000458223	0.000384211	0.000389632	0.000386331	0.000457036	0.000462393	0.000402202	0.000404379	0.000433787	0.00039406	0.00040904
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000411093	0.000479289	0.000427981	0.000411509	0.00042264	0.000482946	0.000402651	0.000419529	0.000422553	0.000441664	0.000364364	0.00041544	0.000409109	0.000445673	0.000444156	0.000363088	0.000451756	0.000421667	0.00036947	0.000365149	0.000412119	0.000405788	0.000437376	0.000432206	0.000380533	0.000445035	0.000574622	0.000431534	0.000342672	0.000351981	0.000420089	0.000492141	0.000428636	0.000434529	0.000426127	0.000409015	0.000485321	0.00036434	0.00053183	0.00038807	0.000515132	0.000502821	0.000560936	0.000453651	0.000446175	0.000431	0.000387941	0.00047048	0.000482922	0.000428227	0.00043221	0.000409381	0.000412302	0.0015921	0.000409767	0.000420781	0.000391717	0.000417888	0.000379979	0.000423015	0.000442683	0.000404815	0.00042126	0.000383347	0.0004515	0.000432449	0.000400875	0.000429551	0.0004675	0.000412565	0.000451999	0.000457996	0.000481888	0.000479399	0.000380984	0.000544735	0.000453969	0.000413361	0.000523076	0.000439832	0.000409569	0.000445264	0.000460005	0.000486645	0.000366884	0.000451099	0.000640994	0.000437108	0.000446767	0.000450286	0.000401257	0.000434377	0.000419677	0.000444391	0.000409282	0.000433422	0.00045898	0.000452619	0.00046414	0.000412655	0.00053111	0.000477099	0.00041783	0.000513747	0.00041007	0.000404572	0.000391212	0.000415197	0.0004171	0.000463377	0.000416273	0.000396837	0.000410543	0.000487477	0.000472385	0.000420008	0.000406194	0.000435096	0.000402367	0.000498424
ARO-PWY: chorismate biosynthesis I	0.000180268	0.000168221	0.000150755	0.000151756	0.000128473	0.00019574	0.000122628	0.000145006	0.00015232	0.000161261	0.000139411	0.000178899	0.000152763	0.000177554	0.000171456	0.000132474	0.000185106	0.00016335	0.000169369	0.000162804	0.000141421	0.000156045	0.000164611	0.000181861	0.00017139	0.000206033	0.000346107	0.000167116	0.000134113	0.00014497	0.000190516	0.000278238	0.000223609	0.000191023	0.000210203	0.000154268	0.000232496	0.000169102	0.000220904	0.000190848	0.00022927	0.000164881	0.000339434	0.000253323	0.000146873	0.000259381	0.000126827	0.000279527	0.000209979	0.000202385	0.00014135	0.000178819	0.000200711	0.00127016	0.000127045	0.000124473	0.000152011	0.00018948	0.000136055	0.000165763	0.00021449	0.000160708	0.000161153	0.000134572	0.000272316	0.000201004	0.000152096	0.000162525	0.000189282	0.000134263	0.000180117	0.000182039	0.000212189	0.000144222	0.000146843	0.000269685	0.000160173	0.00014593	0.000297542	0.000151291	0.000161384	0.000172166	0.000195553	0.000140538	0.00018731	0.000193414	0.000399941	0.000150998	0.000188474	0.000152006	0.00013166	0.000225887	0.000211924	0.000152799	8.71225e-05	0.000137267	0.000193863	0.000245835	0.000147935	0.000132908	0.000200331	0.000159316	0.000167723	0.000160166	0.000167755	0.000172767	0.000175393	0.000120348	0.000201048	0.00017674	0.000161508	0.000163131	0.000155839	0.000162219	0.000168381	0.000194663	0.00017058	0.000234651	0.000179808	0.000170606
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	8.18408e-05	7.93087e-05	6.60351e-05	5.3115e-05	7.36377e-05	6.22571e-05	6.4817e-05	9.58075e-05	6.7351e-05	3.91818e-05	6.67496e-05	8.89713e-05	7.93563e-05	5.86217e-05	7.84995e-05	5.07846e-05	5.93165e-05	9.32317e-05	0.000118063	0.000127549	7.45229e-05	5.17046e-05	6.09053e-05	7.97869e-05	6.37769e-05	0.000121761	0.000110242	7.47033e-05	4.67118e-05	8.77317e-05	9.50381e-05	0.000103736	9.12398e-05	6.7646e-05	6.5684e-05	8.64197e-05	0.00015338	4.54152e-05	9.80268e-05	9.22309e-05	7.40143e-05	6.14145e-05	0.000106965	8.32684e-05	7.39463e-05	8.65568e-05	7.88414e-05	0.000115776	6.9191e-05	9.05948e-05	7.29012e-05	7.68148e-05	0.000101689	8.07403e-05	7.58785e-05	7.53753e-05	0.000104337	0.000109022	6.63234e-05	7.38126e-05	9.6224e-05	5.31906e-05	7.3496e-05	7.01535e-05	8.94188e-05	0.000110303	7.45132e-05	6.82382e-05	9.97388e-05	8.16272e-05	7.82794e-05	3.93337e-05	8.75799e-05	6.14955e-05	6.49901e-05	0.000102586	7.4616e-05	8.78828e-05	0.000140943	6.24334e-05	9.78473e-05	4.96715e-05	0.000128334	5.59093e-05	0.000118447	8.65288e-05	0.000112598	6.83931e-05	0.000101233	7.24889e-05	7.15588e-05	0.000138135	0.000128353	6.88105e-05	6.79647e-05	7.22198e-05	0.000101272	9.32893e-05	8.97056e-05	5.16605e-05	5.09632e-05	8.27573e-05	6.74114e-05	3.90797e-05	8.20079e-05	6.54447e-05	0.000109813	4.97649e-05	9.08194e-05	5.54683e-05	9.96579e-05	8.45856e-05	0.000112172	9.65663e-05	6.22496e-05	0.000106023	7.36822e-05	7.50472e-05	0.000103871	7.41878e-05
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	3.62139e-07	0	6.06402e-07	5.84404e-07	0	4.94904e-07	0	0	0	2.73783e-07	2.39408e-07	0	0	0	0	0	0	0	0	0	5.59081e-06	0	3.44866e-06	2.42767e-06	0	1.13855e-06	4.20635e-07	0	0	7.73631e-07	3.6869e-07	8.08401e-06	0	0	1.26884e-06	0	1.1642e-06	0	7.30731e-07	0	0	0	0	1.21721e-06	0	0	4.72386e-07	4.60787e-07	0	2.15541e-06	0	0	0	0	0	5.33312e-07	0	0	1.11375e-06	0	6.50882e-07	0	0	0	0	0	0	0	8.87566e-07	0	0	5.75595e-07	0	7.05277e-07	0	0	0	1.95376e-07	0	3.4256e-07	0	0	3.54828e-06	0	0	0	0	0	0	0	0	0	0	4.91607e-07	0	0	3.69754e-07	0	0	0	0	0	0	0	0	0	0	5.46884e-07	0	1.84538e-06	9.46571e-07	0	0	4.48642e-07	3.23041e-07	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	2.45052e-06	0	0	4.73432e-06	3.42086e-06	0	2.42038e-06	2.43901e-06	2.44258e-06	2.23339e-06	0	0	0	0	1.21212e-06	0	3.02195e-06	0	0	0	0	2.22289e-06	0	0	2.23098e-05	0	1.66052e-05	1.7537e-05	1.41392e-06	4.95702e-06	1.70781e-06	0	1.10046e-06	2.30914e-06	1.71764e-06	2.69988e-05	2.70845e-06	0	5.28232e-06	1.05975e-06	5.1144e-06	1.7874e-06	5.50589e-06	0	8.69548e-07	0	0	4.59452e-06	1.51273e-06	1.8834e-06	2.35766e-06	3.69262e-06	0	6.98181e-06	0	0	0	0	1.07845e-06	3.39722e-06	2.51417e-06	0	7.06352e-06	0	5.0508e-06	0	0	0	1.40033e-06	0	7.37793e-07	0	7.02546e-06	0	0	5.27895e-06	0	1.59365e-06	0	0	1.84966e-06	0	1.42117e-06	0	0	3.07792e-06	1.5971e-05	0	0	1.51281e-06	0	0	0	0	0	0	0	3.53785e-06	2.41723e-06	0	1.71615e-06	2.15171e-06	2.96366e-06	2.5656e-06	1.24505e-06	1.66854e-06	3.19561e-06	0	0	0	0	1.95494e-06	3.20517e-06	2.83874e-06	4.60763e-06	2.14169e-06	1.61298e-06	3.53536e-06	1.78037e-06	2.82316e-06
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.000358202	0.000310959	0.000371089	0.000335829	0.00031919	0.000364743	0.000314737	0.000348332	0.000374355	0.000367411	0.000270481	0.000347888	0.00034705	0.000374384	0.000384203	0.000277747	0.00034364	0.000333646	0.000297191	0.000291251	0.000304673	0.000333676	0.000347057	0.000345356	0.000347968	0.000348371	0.000490302	0.000340287	0.000296322	0.000310202	0.000383422	0.000452618	0.000395133	0.000348354	0.000377959	0.000341111	0.000367816	0.000308251	0.000364052	0.000332044	0.00036904	0.000340287	0.000495053	0.000377833	0.000328171	0.000416087	0.000310689	0.000440318	0.000362068	0.000375718	0.000340074	0.000340632	0.00034559	0.00142247	0.000332673	0.000322085	0.000324018	0.000343881	0.000311994	0.000326535	0.000370912	0.000352815	0.00036243	0.000318165	0.00043069	0.000374811	0.000335071	0.000366581	0.000357146	0.000328627	0.000363529	0.00028569	0.000346724	0.000370777	0.000288203	0.000439938	0.000339059	0.000355307	0.00046009	0.000357457	0.000337713	0.000330077	0.000394345	0.000373117	0.000332742	0.000352218	0.000566388	0.000343685	0.000386763	0.000362538	0.000329345	0.000384919	0.000368955	0.000380463	0.00029417	0.000290216	0.000338683	0.00039224	0.000384538	0.000318679	0.000368831	0.000380516	0.000331633	0.000307994	0.00032766	0.000318249	0.000341803	0.000317541	0.000365417	0.000361345	0.000351646	0.000348695	0.000331805	0.000384346	0.000400809	0.000358968	0.000348861	0.000386089	0.000359496	0.000362869
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00028537	0.000291865	0.000304959	0.000279442	0.000302338	0.00032892	0.000285791	0.000294006	0.000295209	0.000279333	0.000239249	0.000270223	0.000280062	0.000295932	0.00029902	0.00025321	0.000296994	0.000324695	0.000298098	0.000301849	0.000303968	0.000274834	0.000293497	0.000239277	0.00028504	0.000237314	0.000234166	0.000295845	0.000282912	0.000235332	0.000245563	0.000244805	0.000235271	0.000277141	0.000243554	0.000371501	0.000261183	0.000226743	0.000364836	0.000261954	0.000288369	0.000312102	0.000269896	0.00026073	0.000316861	0.000210732	0.000243435	0.000236573	0.000313645	0.000246772	0.000289315	0.000270849	0.000296082	0.000156364	0.00027097	0.000331552	0.000297205	0.000253994	0.000253394	0.000292405	0.000262534	0.000262238	0.000317734	0.000272253	0.000212002	0.000247647	0.000276912	0.000277405	0.00033501	0.000286429	0.00029131	0.000325246	0.00033162	0.000322293	0.000287433	0.000288246	0.00031381	0.000275918	0.00022131	0.000289758	0.000271077	0.000287804	0.000273394	0.00032361	0.000251366	0.000294981	0.000250852	0.000274194	0.000260253	0.000300272	0.000282622	0.000268774	0.000269689	0.000328339	0.000250804	0.000244849	0.000250407	0.000222007	0.000318396	0.000266904	0.00034372	0.000295569	0.000315051	0.000328699	0.000287678	0.000301726	0.000294228	0.000265473	0.000268717	0.000302947	0.000284982	0.000279798	0.000299638	0.000350227	0.000338346	0.000267401	0.000290021	0.000278458	0.000305229	0.000312403
